Nome_Video,Secondo,AbsDiff_Perc,Max_Blob_Area,Saliency_Mean,Temp_Variance,Label_Freeze
zo6xVVYyNyQ.mp4,117.0,34.1434,253979,0.096,14.1552,0
zo6xVVYyNyQ.mp4,117.1,23.4195,89556,0.0894,14.0336,0
zo6xVVYyNyQ.mp4,117.2,27.7637,131809,0.0927,13.1544,0
zo6xVVYyNyQ.mp4,117.3,32.5123,250170,0.1025,14.2126,0
zo6xVVYyNyQ.mp4,117.4,43.6655,304942,0.1117,46.4115,0
zo6xVVYyNyQ.mp4,117.5,45.0421,655416,0.1086,73.4488,0
zo6xVVYyNyQ.mp4,117.6,42.8261,638381,0.1136,47.8439,0
zo6xVVYyNyQ.mp4,117.7,35.1607,442600,0.1059,25.2405,0
zo6xVVYyNyQ.mp4,117.8,28.7237,175834,0.0954,38.6439,0
zo6xVVYyNyQ.mp4,117.9,27.5736,220118,0.0921,50.5832,0
zo6xVVYyNyQ.mp4,118.0,29.1701,314876,0.0882,32.6285,0
zo6xVVYyNyQ.mp4,118.1,34.3122,479754,0.1056,9.7104,0
zo6xVVYyNyQ.mp4,118.2,29.5377,163923,0.1106,5.3841,0
zo6xVVYyNyQ.mp4,118.3,39.4884,253954,0.1319,19.017,0
zo6xVVYyNyQ.mp4,118.4,47.462,680456,0.1286,46.9606,0
zo6xVVYyNyQ.mp4,118.5,37.9182,445649,0.1244,35.3266,0
zo6xVVYyNyQ.mp4,118.6,36.1108,219399,0.0997,33.3754,0
zo6xVVYyNyQ.mp4,118.7,35.4113,278636,0.1244,18.7706,0
zo6xVVYyNyQ.mp4,118.8,34.7263,224572,0.1001,21.9985,0
zo6xVVYyNyQ.mp4,118.9,35.4376,501798,0.0937,1.1891,0
zo6xVVYyNyQ.mp4,119.0,37.2309,334639,0.0923,0.7156,0
zo6xVVYyNyQ.mp4,119.1,40.8343,510412,0.0833,4.904,0
zo6xVVYyNyQ.mp4,119.2,36.3115,499760,0.0858,4.5595,0
zo6xVVYyNyQ.mp4,119.3,34.4504,296160,0.0969,4.8125,0
zo6xVVYyNyQ.mp4,119.4,23.8873,44966,0.1098,32.6969,0
zo6xVVYyNyQ.mp4,119.5,24.4114,122834,0.1086,45.2077,0
zo6xVVYyNyQ.mp4,119.6,27.1418,244064,0.1022,26.7047,0
zo6xVVYyNyQ.mp4,119.7,26.2463,217212,0.0949,14.4455,0
zo6xVVYyNyQ.mp4,119.8,21.7026,38774,0.104,3.6158,0
zo6xVVYyNyQ.mp4,119.9,20.3932,111656,0.0992,6.6742,0
zo6xVVYyNyQ.mp4,120.0,26.5233,120157,0.0962,7.753,0
zo6xVVYyNyQ.mp4,120.1,21.8499,182600,0.0924,6.433,0
